Stock,Samples,Class_Balance,Confidence,Threshold,Accuracy,Precision,Recall,F1-score,AUC,AUPR,MSE,RMSE,MAE,Reliable
000063.SZ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0018302645640346782,0.04278159141540527,0.04278159141540527,False
000333.SZ,3,0.33333333333333337,0.11547005383792516,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.5,0.003678025031306061,0.06064672317039117,0.05116580923398336,False
600340.SH,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.10097840065503849,0.31777098774909973,0.31777098774909973,False
000876.SZ,14,0.42857142857142855,0.3207134902949092,1.0,0.5714285714285714,0.0,0.0,0.0,1.0,1.0,0.21279126166722812,0.4612930323202683,0.4417876771518162,False
300676.SZ,8,0.375,0.21213203435596426,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07426307704525587,0.2725125264006333,0.2671249061822891,False
002352.SZ,6,0.33333333333333337,0.16329931618554522,0.6874773109710738,0.8333333333333334,1.0,0.75,0.8571428571428571,0.5,0.5,0.0047327158297499755,0.06879473693350369,0.06140096733967463,False
600521.SH,1,0.0,0.0,0.5090662142376793,1.0,0.0,0.0,0.0,0.5,0.5,0.15148494656540468,0.38921067118644714,0.38921067118644714,False
300207.SZ,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0012136381172500738,0.03483730927109718,0.03483730927109718,False
600673.SH,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.008552584182552891,0.09248018264770508,0.09248018264770508,False
000002.SZ,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.12441673312786694,0.3527275621891022,0.3527275621891022,False
002252.SZ,1,0.0,0.0,0.0196358822286129,1.0,0.0,0.0,0.0,0.5,0.5,0.0003855678708959559,0.0196358822286129,0.0196358822286129,False
002594.SZ,22,0.4090909090909091,0.3837612894400988,1.0,0.5909090909090909,0.0,0.0,0.0,1.0,1.0000000000000002,0.0737575752979091,0.2715834591758289,0.25925310768864374,True
601669.SH,2,0.5,0.1414213562373095,0.6272553443173193,1.0,1.0,1.0,1.0,0.5,0.5,0.012142848467626727,0.11019459364064431,0.10787487402558327,False
002548.SZ,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.01009066535608838,0.10045230388641357,0.10045230388641357,False
002422.SZ,2,0.5,0.1414213562373095,0.3544427497137711,1.0,1.0,1.0,1.0,1.0,1.0,0.028546936751240648,0.168958387632105,0.1643892005085945,False
600309.SH,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.03012356381701764,0.1735614122350289,0.13792762160301208,False
000157.SZ,3,0.0,0.0,0.9721856781665534,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.39637936486364467,0.629586661916884,0.6295763452847799,False
600519.SH,5,0.2,0.0894427190999916,0.3729852576574313,0.8,0.5,1.0,0.6666666666666666,0.5,0.5,0.0049323199721100445,0.07023047751589082,0.06990602165460587,False
601238.SH,4,0.0,0.0,0.965814099364934,0.5,1.0,0.5,0.6666666666666666,1.0,0.25,0.011308437299383911,0.10634113644015618,0.08024156093597412,False
002415.SZ,1,0.0,0.0,1.7430864572525024,0.0,0.0,0.0,0.0,0.5,0.5,0.5521774829520751,0.7430864572525024,0.7430864572525024,False
600276.SH,18,0.5,0.42426406871192845,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.018034799673933573,0.13429370675476038,0.11783555481168959,False
