Stock,MSE,RMSE,MAE,R2
000063.SZ,0.0018302645640346782,0.04278159141540527,0.04278159141540527,
000333.SZ,0.003678025031306061,0.06064672317039117,0.05116580923398336,0.9944829624530409
600340.SH,0.10097840065503849,0.31777098774909973,0.31777098774909973,
000876.SZ,0.21279126166722812,0.4612930323202683,0.4417876771518162,0.13110234819215172
300676.SZ,0.07426307704525587,0.2725125264006333,0.2671249061822891,0.6831442046069083
002352.SZ,0.0047327158297499755,0.06879473693350369,0.06140096733967463,0.9899777782428824
600521.SH,0.15148494656540468,0.38921067118644714,0.38921067118644714,
300207.SZ,0.0012136381172500738,0.03483730927109718,0.03483730927109718,
600673.SH,0.008552584182552891,0.09248018264770508,0.09248018264770508,
000002.SZ,0.12441673312786694,0.3527275621891022,0.3527275621891022,
002252.SZ,0.0003855678708959559,0.0196358822286129,0.0196358822286129,
002594.SZ,0.0737575752979091,0.2715834591758289,0.25925310768864374,0.8924738962524458
601669.SH,0.012142848467626727,0.11019459364064431,0.10787487402558327,0.9878571515323733
002548.SZ,0.01009066535608838,0.10045230388641357,0.10045230388641357,
002422.SZ,0.028546936751240648,0.168958387632105,0.1643892005085945,0.8858122529950374
600309.SH,0.03012356381701764,0.1735614122350289,0.13792762160301208,0.8393409929759059
000157.SZ,0.39637936486364467,0.629586661916884,0.6295763452847799,0.0
600519.SH,0.0049323199721100445,0.07023047751589082,0.06990602165460587,0.992293250043578
601238.SH,0.011308437299383911,0.10634113644015618,0.08024156093597412,0.9396883344032858
002415.SZ,0.5521774829520751,0.7430864572525024,0.7430864572525024,
600276.SH,0.018034799673933573,0.13429370675476038,0.11783555481168959,0.9752403597696844
601727.SH,1.2462712195792722,1.116365181998826,1.0524161159992218,-3.985084878317089
002714.SZ,0.0731341788364885,0.2704333168019216,0.24687811732292175,0.8857278455679868
002653.SZ,0.044932029638106386,0.21197176613432833,0.19713899493217468,0.9550679703618936
600030.SH,0.009935569021610573,0.09967732451069587,0.0954900367392434,0.899402363656193
001979.SZ,0.031018498777448222,0.17612069377971523,0.12824266155560812,0.860416755501483
000625.SZ,0.020381641960414174,0.14276428811300876,0.13081499437491098,0.9672437897064772
